Class,Scientific_name,Common_name
amphibians,Adelotus brevis,tusked frog
amphibians,Kyarranus kundagungan,red-and-yellow mountainfrog
amphibians,Kyarranus loveridgei,masked mountainfrog
amphibians,Lechriodus fletcheri,black soled frog
amphibians,Limnodynastes convexiusculus,marbled frog
amphibians,Limnodynastes dumerilii,grey bellied pobblebonk
amphibians,Limnodynastes fletcheri,barking frog
amphibians,Limnodynastes peronii,striped marshfrog
amphibians,Limnodynastes salmini,salmon striped frog
amphibians,Limnodynastes tasmaniensis,spotted grassfrog
amphibians,Limnodynastes terraereginae,scarlet sided pobblebonk
amphibians,Neobatrachus aquilonius,rattling frog
amphibians,Neobatrachus sudellae,meeowing frog
amphibians,Notaden bennettii,holy cross frog
amphibians,Notaden melanoscaphus,brown shovelfoot
amphibians,Notaden nichollsi,desert shovelfoot
amphibians,Platyplectrum ornatum,ornate burrowing frog
amphibians,Platyplectrum spenceri,desert burrowing frog
amphibians,Assa darlingtoni,pouched frog
amphibians,Crinia bilingua,bilingual froglet
amphibians,Crinia deserticola,chirping froglet
amphibians,Crinia parinsignifera,beeping froglet
amphibians,Crinia remota,northern froglet
amphibians,Crinia signifera,clicking froglet
amphibians,Crinia tinnula,wallum froglet
amphibians,Mixophyes carbinensis,Carbine barred frog
amphibians,Mixophyes coggeri,mottled barred frog
amphibians,Mixophyes fasciolatus,great barred frog
amphibians,Mixophyes fleayi,Fleay's barred frog
amphibians,Mixophyes iteratus,giant barred frog
amphibians,Mixophyes schevilli,northern barred frog
amphibians,Pseudophryne coriacea,red backed broodfrog
amphibians,Pseudophryne covacevichae,magnificent broodfrog
amphibians,Pseudophryne major,great brown broodfrog
amphibians,Pseudophryne raveni,copper backed broodfrog
amphibians,Rheobatrachus silus,southern gastric brooding frog
amphibians,Rheobatrachus vitellinus,northern gastric brooding frog
amphibians,Taudactylus acutirostris,sharp snouted dayfrog
amphibians,Taudactylus diurnus,southern dayfrog
amphibians,Taudactylus eungellensis,Eungella dayfrog
amphibians,Taudactylus liemi,Eungella tinkerfrog
amphibians,Taudactylus pleione,Kroombit tinkerfrog
amphibians,Taudactylus rheophilus,northern tinkerfrog
amphibians,Uperoleia altissima,tableland gungan
amphibians,Uperoleia fusca,dusky gungan
amphibians,Uperoleia inundata,floodplain gungan
amphibians,Uperoleia laevigata,eastern gungan
amphibians,Uperoleia lithomoda,stonemason gungan
amphibians,Uperoleia littlejohni,Einasleigh gungan
amphibians,Uperoleia mimula,mimicking gungan
amphibians,Uperoleia rugosa,chubby gungan
amphibians,Uperoleia trachyderma,orange shouldered gungan
amphibians,Cyclorana alboguttata,greenstripe frog
amphibians,Cyclorana australis,northern snapping frog
amphibians,Cyclorana brevipes,superb collared frog
amphibians,Cyclorana cryptotis,earless frog
amphibians,Cyclorana cultripes,grassland collared frog
amphibians,Cyclorana maculosa,spotted collared frog
amphibians,Cyclorana maini,western collared frog
amphibians,Cyclorana manya,little collared frog
amphibians,Cyclorana novaehollandiae,eastern snapping frog
amphibians,Cyclorana platycephala,water holding frog
amphibians,Cyclorana verrucosa,rough collared frog
amphibians,Litoria andiirrmalin,Melville Range treefrog
amphibians,Litoria bella,Cape York graceful treefrog
amphibians,Litoria bicolor,northern sedgefrog
amphibians,Litoria brevipalmata,green thighed frog
amphibians,Litoria caerulea,common green treefrog
amphibians,Litoria chloris,orange eyed treefrog
amphibians,Litoria cooloolensis,Cooloola sedgefrog
amphibians,Litoria coplandi,sandstone frog
amphibians,Litoria dahlii,northern waterfrog
amphibians,Litoria dayi,Australian lacelid
amphibians,Litoria dentata,bleating treefrog
amphibians,Litoria electrica,buzzing treefrog
amphibians,Litoria eucnemis,growling green eyed frog
amphibians,Litoria fallax,eastern sedgefrog
amphibians,Litoria freycineti,wallum rocketfrog
amphibians,Litoria gracilenta,graceful treefrog
amphibians,Litoria inermis,bumpy rocketfrog
amphibians,Litoria infrafrenata,white lipped treefrog
amphibians,Litoria jungguy,northern stony creek frog
amphibians,Litoria kroombitensis,Kroombit treefrog
amphibians,Litoria latopalmata,broad palmed rocketfrog
amphibians,Litoria longirostris,long snouted treefrog
amphibians,Litoria lorica,little waterfall frog
amphibians,Litoria microbelos,javelin frog
amphibians,Litoria myola,Kuranda treefrog
amphibians,Litoria nannotis,waterfall frog
amphibians,Litoria nasuta,striped rocketfrog
amphibians,Litoria nigrofrenata,tawny rocketfrog
amphibians,Litoria nyakalensis,mountain mistfrog
amphibians,Litoria olongburensis,wallum sedgefrog
amphibians,Litoria pallida,pallid rocketfrog
amphibians,Litoria pearsoniana,cascade treefrog
amphibians,Litoria peronii,emerald spotted treefrog
amphibians,Litoria revelata,whirring treefrog
amphibians,Litoria rheocola,common mistfrog
amphibians,Litoria rothii,northern laughing treefrog
amphibians,Litoria rubella,ruddy treefrog
amphibians,Litoria serrata,tapping green eyed frog
amphibians,Litoria sp. cf. cooloolensis (North Stradbroke Is population),
amphibians,Litoria subglandulosa,New England treefrog
amphibians,Litoria tyleri,southern laughing treefrog
amphibians,Litoria verreauxii,whistling treefrog
amphibians,Litoria watjulumensis,giant rocketfrog
amphibians,Litoria wilcoxii,eastern stony creek frog
amphibians,Litoria xanthomera,orange thighed treefrog
amphibians,Austrochaperina fryi,peeping whistlefrog
amphibians,Austrochaperina gracilipes,shrill whistlefrog
amphibians,Austrochaperina pluvialis,white browed whistlefrog
amphibians,Austrochaperina robusta,robust whistlefrog
amphibians,Cophixalus aenigma,tapping nurseryfrog
amphibians,Cophixalus australis,southern ornate nursery-frog
amphibians,Cophixalus bombiens,buzzing nurseryfrog
amphibians,Cophixalus concinnus,beautiful nurseryfrog
amphibians,Cophixalus crepitans,northern nurseryfrog
amphibians,Cophixalus exiguus,dainty nurseryfrog
amphibians,Cophixalus hinchinbrookensis,Hinchinbrook Island nursery-frog
amphibians,Cophixalus hosmeri,rattling nurseryfrog
amphibians,Cophixalus infacetus,creaking nurseryfrog
amphibians,Cophixalus kulakula,Kutini boulder-frog
amphibians,Cophixalus mcdonaldi,Mount Elliot nurseryfrog
amphibians,Cophixalus monticola,mountain nurseryfrog
amphibians,Cophixalus neglectus,Bellenden Ker nurseryfrog
amphibians,Cophixalus ornatus,northern ornate nursery-frog
amphibians,Cophixalus pakayakulangun,golden-capped boulder-frog
amphibians,Cophixalus peninsularis,Cape York nurseryfrog
amphibians,Cophixalus petrophilus,blotched boulder-frog
amphibians,Cophixalus saxatilis,Black Mountain boulderfrog
amphibians,Cophixalus zweifeli,Cape Melville boulderfrog
amphibians,Papurana daemeli,Australian woodfrog
amphibians,Rhinella marina,cane toad
arachnids,Arbanitis longipes,Brisbane tube spider
arachnids,Coremiocnemis tropix,tropix
arachnids,Selenocosmia crassipes,
arachnids,Selenocosmia stirlingi,
arachnids,Selenocosmia strenua,
arachnids,Selenocosmia subvulpina,
arachnids,Selenotypus plumipes,
arachnids,Urodacus macrurus,
arachnids,Urodacus manicatus,black rock scorpion
arachnids,Urodacus spinatus,
arachnids,Urodacus yaschenkoi,inland robust scorpion
birds,Casuarius casuarius johnsonii (northern population),southern cassowary (northern population)
birds,Casuarius casuarius johnsonii (southern population),southern cassowary (southern population)
birds,Dromaius novaehollandiae,emu
birds,Alectura lathami,Australian brush-turkey
birds,Megapodius reinwardt,orange-footed scrubfowl
birds,Coturnix pectoralis,stubble quail
birds,Coturnix ypsilophora,brown quail
birds,Excalfactoria chinensis,king quail
birds,Gallus gallus,red junglefowl
birds,Meleagris gallopavo,wild turkey
birds,Pavo cristatus,Indian peafowl
birds,Anseranas semipalmata,magpie goose
birds,Anas castanea,chestnut teal
birds,Anas gracilis,grey teal
birds,Anas platyrhynchos,northern mallard
birds,Anas querquedula,garganey
birds,Anas rhynchotis,Australasian shoveler
birds,Anas superciliosa,Pacific black duck
birds,Aythya australis,hardhead
birds,Biziura lobata,musk duck
birds,Chenonetta jubata,Australian wood duck
birds,Cygnus atratus,black swan
birds,Dendrocygna arcuata,wandering whistling-duck
birds,Dendrocygna eytoni,plumed whistling-duck
birds,Dendrocygna guttata,spotted whistling-duck
birds,Malacorhynchus membranaceus,pink-eared duck
birds,Nettapus coromandelianus,cotton pygmy-goose
birds,Nettapus pulchellus,green pygmy-goose
birds,Oxyura australis,blue-billed duck
birds,Stictonetta naevosa,freckled duck
birds,Tadorna radjah,radjah shelduck
birds,Tadorna tadornoides,Australian shelduck
birds,Phaethon lepturus,white-tailed tropicbird
birds,Phaethon rubricauda,red-tailed tropicbird
birds,Podiceps cristatus,great crested grebe
birds,Poliocephalus poliocephalus,hoary-headed grebe
birds,Tachybaptus novaehollandiae,Australasian grebe
